	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	main_type
0	Pearse Street Hardware Ltd	ChIJrXC-B5MOZ0gRTLyrw4m_3g0	hardware_store|point_of_interest|store|establishment	53.3430283	-6.2430566	False		hardware_store
1	Hardware Home Center	ChIJeRXlhZcOZ0gRRHQIEqUMPqM	hardware_store|point_of_interest|store|establishment	53.3370627	-6.252110499999999			hardware_store
2	Weirs Of Baggot Street	ChIJKRMI170OZ0gRepwSU4B4Ix4	hardware_store|locksmith|home_goods_store|food|point_of_interest|store|establishment	53.3331782	-6.2449052	False		hardware_store
3	M.s.i. Limited	ChIJS5S7tqIOZ0gRS2S78i9_Z9U	hardware_store|point_of_interest|store|establishment	53.33400690000001	-6.252161500000001			hardware_store
4	Mary's Bar & Hardware	ChIJy6cVf5sOZ0gRF5C4UwATBGY	hardware_store|bar|point_of_interest|store|establishment	53.3428527	-6.2602792	True	2.0	hardware_store
5	O'Briens Hardware	ChIJbWMmKo8OZ0gRtC8Jgi1a8F0	hardware_store|point_of_interest|store|establishment	53.3510296	-6.251989399999998	False		hardware_store
6	Expert Hardware	ChIJTS20qJ0OZ0gRD7v19KoY_VU	hardware_store|point_of_interest|store|establishment	53.3422198	-6.2648559	False		hardware_store
7	Decwells Hardware	ChIJlUkor50OZ0gRzbweqPRaJks	hardware_store|point_of_interest|store|establishment	53.3422198	-6.2648559	False		hardware_store
8	Valu Mart	ChIJKXgOVEEPZ0gRmXBC3AhPCvc	hardware_store|point_of_interest|store|establishment	53.35084380000001	-6.253271199999999	False		hardware_store
9	Dunnes Hardware	ChIJtUpi0Z8OZ0gRJrUTT1Ps_jw	hardware_store|point_of_interest|store|establishment	53.3367276	-6.265744899999999	False		hardware_store
10	Fogarty Lock & Safe Co Ltd.	ChIJPVAFRJ0OZ0gRVrRToTE7HRk	hardware_store|locksmith|point_of_interest|store|establishment	53.344253	-6.2667895	False		hardware_store
11	Expert Hardware	ChIJf5VzR-0LZ0gRGmCgs3LFK-M	hardware_store|point_of_interest|store|establishment	53.32400819999999	-6.251881999999999	False		hardware_store
12	Expert Hardware Donnybrook	ChIJO45SRrYOZ0gRje58FOYYJ5s	hardware_store|point_of_interest|store|establishment	53.3223412	-6.2377451	False		hardware_store
13	Keys Cut, Electrical and DIY tools	ChIJv3c-b4IOZ0gRqbYzxqghm_g	hardware_store|point_of_interest|store|establishment	53.34852830000001	-6.2678914	False		hardware_store
14	McQuillan Tools	ChIJlzmxfoIOZ0gRd5MoHTMW1uU	hardware_store|point_of_interest|store|establishment	53.3480919	-6.268435699999999	False		hardware_store
15	Murtaghs of Sandymount	ChIJZd_iH9wOZ0gRkROstHSPuMY	hardware_store|home_goods_store|point_of_interest|store|establishment	53.3328509	-6.216287500000001	False		hardware_store
16	Lenehans	ChIJMYk3doIOZ0gRi6xOAGJOWEE	hardware_store|home_goods_store|point_of_interest|store|establishment	53.3486058	-6.268931700000001	False		hardware_store
